source_url,strain_count,strain_id
https://multiversebeans.com/product/brothers-grimm-seeds-princess-haze-xx-strain-fem-photo-9-pack/,1,[11071]
https://multiversebeans.com/product/brothers-grimm-seeds-queen-of-soul-xx-strain-fem-photo-9-pack/,1,[11494]
https://multiversebeans.com/product/brothers-grimm-seeds-rosetta-stone-xx-strain-fem-photo-9-pack/,1,[11909]
https://multiversebeans.com/product/bruce-banner-blimburn-seeds/,1,[2146]
https://multiversebeans.com/product/bruce-banner-fast-buds/,1,[2163]
https://multiversebeans.com/product/butter-bean-birdseed-2-scoops-strain-auto-fem-5-pack/,1,[12210]
https://multiversebeans.com/product/butter-bean-birdseed-blue-lemonade-strain-auto-fem-5-pack/,1,[1748]
https://multiversebeans.com/product/butter-bean-birdseed-chocolate-chip-cookies-strain-auto-fem-5-pack/,1,[3141]
https://multiversebeans.com/product/butter-bean-birdseed-creeper-haze-xxl-strain-auto-fem-5-pack/,1,[3616]
https://multiversebeans.com/product/butter-bean-birdseed-faster-master-strain-fem-photo-fast-5-pack/,1,[4768]
https://multiversebeans.com/product/butter-bean-birdseed-forgotten-oranges-strain-auto-fem-5-pack/,1,[4949]
https://multiversebeans.com/product/butter-bean-birdseed-gorilla-cake-strain-auto-fem-5-pack/,1,[5907]
https://multiversebeans.com/product/butter-bean-birdseed-gorilla-dick-strain-auto-fem-5-pack/,1,[5934]
https://multiversebeans.com/product/butter-bean-birdseed-grease-lightning-strain-auto-fem-5-pack/,1,[6273]
https://multiversebeans.com/product/butter-bean-birdseed-hazey-brain-strain-auto-fem-5-pack/,1,[6628]
https://multiversebeans.com/product/butter-bean-birdseed-queens-cheese-strain-auto-fem-5-pack/,1,[11506]
https://multiversebeans.com/product/butter-bean-birdseed-raspberry-rarri-strain-auto-fem-5-pack/,1,[11667]
https://multiversebeans.com/product/butter-bean-birdseed-strawberry-dawg-pie-strain-auto-fem-5-pack/,1,[13374]
https://multiversebeans.com/product/butter-bean-birdseed-strawberry-punch-strain-auto-fem-5-pack/,1,[13467]
https://multiversebeans.com/product/butter-bean-birdseed-sunny-d-strain-auto-fem-5-pack/,1,[13640]
https://multiversebeans.com/product/butter-bean-birdseed-ubc-chemo-strain-fem-photo-fast-5-pack/,1,[14800]
https://multiversebeans.com/product/butter-bean-birdseed-watermelonium-strain-auto-fem-5-pack/,1,[15046]
https://multiversebeans.com/product/cafe-racer-blimburn-seeds/,1,[2372]
https://multiversebeans.com/product/cali-connection-22-strain-fem-photo-6-pack/,1,[3]
https://multiversebeans.com/product/cali-connection-818-headband-sour-og-strain-fem-photo-6-pack/,1,[12962]
https://multiversebeans.com/product/cali-connection-alien-og-strain-fem-photo-6-pack/,1,[362]
https://multiversebeans.com/product/cali-connection-bellini-the-gold-line-strain-fem-photo-6-pack/,1,[1137]
https://multiversebeans.com/product/cali-connection-blackwater-strain-fem-photo-6-pack/,1,[1560]
https://multiversebeans.com/product/cali-connection-boss-hog-strain-auto-fem-6-pack/,1,[2065]
https://multiversebeans.com/product/cali-connection-boss-hogg-strain-fem-photo-6-pack/,1,[2068]
https://multiversebeans.com/product/cali-connection-buddha-tahoe-og-strain-fem-photo-6-pack/,1,[14087]
https://multiversebeans.com/product/cali-connection-cbd-og-strain-fem-photo-6-pack/,1,[2666]
https://multiversebeans.com/product/cali-connection-chem-4-og-strain-fem-photo-6-pack/,1,[2875]
https://multiversebeans.com/product/cali-connection-chem-91-sk-va-strain-fem-photo-6-pack/,1,[2845]
https://multiversebeans.com/product/cali-connection-chem-valley-kush-strain-fem-photo-6-pack/,1,[2889]
https://multiversebeans.com/product/cali-connection-cherries-jubilee-strain-fem-photo-6-pack/,1,[2947]
https://multiversebeans.com/product/cali-connection-corleone-kush-strain-fem-photo-6pack/,1,[3507]
https://multiversebeans.com/product/cali-connection-deadhead-og-strain-fem-photo-6-pack/,1,[3962]
https://multiversebeans.com/product/cali-connection-fruit-cup-fem-photo-6-pack/,1,[5109]
https://multiversebeans.com/product/cali-connection-fruit-tree-strain-fem-photo-6-pack/,1,[5134]
https://multiversebeans.com/product/cali-connection-girl-scout-cookies-strain-fem-photo-6-pack/,1,[5583]
https://multiversebeans.com/product/cali-connection-grape-kush-strain-fem-photo-6-pack/,1,[6175]
