source_url,strain_name,strain_id,breeder_name,bank_name
https://multiversebeans.com/product/twenty20-medocino-trizkit-strain-auto-fem/,Trizkit Auto,14603,Twenty20 Mendocino,Multiverse Beans
https://multiversebeans.com/product/tripping-nuts-aeque-genetics-autoflower-cannabis-seeds-regular/,Tripping Nuts Auto,14594,Aeque Genetics,Multiverse Beans
https://multiversebeans.com/product/royal-queen-seeds-triple-g-strain-fem-photo/,Triple G,14577,Royal Queen Seeds,Multiverse Beans
https://multiversebeans.com/product/twenty20-medocino-triks-strain-auto-fem-2/,Triks Auto,14560,Twenty20 Mendocino,Multiverse Beans
https://multiversebeans.com/product/atlas-seed-tricross-strain-auto-fem-2/,Tricross Auto,14556,Atlas Seeds,Multiverse Beans
https://multiversebeans.com/product/auto-trichome-and-cream/,Trichome And Cream Auto,14552,Dutch Passion,Multiverse Beans
https://multiversebeans.com/product/laplata-labs-triangle-kush-strain-fem-auto-5-pack/,Triangle Kush Auto,14541,Laplata Labs,Multiverse Beans
https://multiversebeans.com/product/spaceman-seed-co-trap-phone-7-pack/,Trap Phone,14524,Spaceman Seed Co,Multiverse Beans
https://multiversebeans.com/product/humboldt-seed-co-trainwreck-strain-auto-fem/,Trainwreck Auto,14511,Humboldt Seed Co,Multiverse Beans
https://multiversebeans.com/product/canuk-seeds-train-wreck-strain-fem-photo/,Trainwreck,14501,Canuk Seeds,Multiverse Beans
https://multiversebeans.com/product/humboldt-seed-co-trainwreck-strain-fem-photo/,Trainwreck,14502,Humboldt Seed Co,Multiverse Beans
https://multiversebeans.com/product/genetix-matter-trailer-park-barbie-strain-fem-photo/,Trailer Park Barbie,14483,Genetix Matter,Multiverse Beans
https://multiversebeans.com/product/trident-seeds-pbb-x-mac-dark-pheno-x-purple-inthanon-thai-landrace/,Tpbb X Mac Dark Pheno X Purple Inthanon Thai Landrace,14482,Trident Seeds,Multiverse Beans
https://multiversebeans.com/product/tourmaline/,Tourmaline,14479,SoFem Genetics,Multiverse Beans
https://multiversebeans.com/product/trident-seeds-toshku-strain-reg-photo-copy/,Toshku Copy,14475,Trident Seeds,Multiverse Beans
