strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Blueberry Lemonade Strain,https://www.cropkingseeds.com/feminized-seeds/blueberry-lemonade-strain-feminized-marijuana-seeds/,html/85608fc31fed3d5e.html,Crop King Seeds
Carbon Candy Strain,https://www.cropkingseeds.com/feminized-seeds/carbon-candy-strain/,html/d051eb6538ae85b0.html,Crop King Seeds
Goat Milk Strain,https://www.cropkingseeds.com/feminized-seeds/goat-milk-strain-feminized-marijuana-seeds/,html/c3bfcd679a49938b.html,Crop King Seeds
Platinum Lemon Cherry Strain,https://www.cropkingseeds.com/feminized-seeds/platinum-lemon-cherry-strain-feminized-marijuana-seeds/,html/145f33fc5767e072.html,Crop King Seeds
Blue Ritz,https://www.cropkingseeds.com/feminized-seeds/blue-ritz-feminized-seeds/,html/29942009384f97dc.html,Crop King Seeds
Strawberries N Later,https://www.cropkingseeds.com/feminized-seeds/strawberries-n-later-feminized-seeds/,html/f8e56a25d4c4a90d.html,Crop King Seeds
Tokyo Snow Strain,https://www.cropkingseeds.com/feminized-seeds/tokyo-snow-strain-feminized-marijuana-seeds/,html/762e35099d1e3408.html,Crop King Seeds
XJ13 Strain,https://www.cropkingseeds.com/feminized-seeds/xj13-strain-feminized-marijuana-seeds/,html/9f5b3998bd568815.html,Crop King Seeds
Ricky Bobby Strain,https://www.cropkingseeds.com/feminized-seeds/ricky-bobby-strain-feminized-marijuana-seeds/,html/ad648378b93c5f44.html,Crop King Seeds
Astro Boy,https://www.cropkingseeds.com/feminized-seeds/astro-boy-feminized-seeds/,html/deaa6fc76e3bf8d9.html,Crop King Seeds
King Louis XIII,https://www.cropkingseeds.com/autoflowering-seeds/king-louis-xiii-autoflowering-marijuana-seeds/,html/5bc06659c35afb91.html,Crop King Seeds
Monkey Mints Strain,https://www.cropkingseeds.com/feminized-seeds/monkey-mints-strain-feminized-marijuana-seeds/,html/a4acc36b36cf4187.html,Crop King Seeds
Biscotti Gelato Strain,https://www.cropkingseeds.com/feminized-seeds/biscotti-gelato-strain-feminized-marijuana-seeds/,html/0ec28e04e1747c5d.html,Crop King Seeds
Grape Punch Strain,https://www.cropkingseeds.com/feminized-seeds/grape-punch-strain-feminized-marijuana-seeds/,html/86b6a8cb084c5679.html,Crop King Seeds
Inzane Strain,https://www.cropkingseeds.com/feminized-seeds/inzane-strain-feminized-marijuana-seeds/,html/2fd7502d010862b9.html,Crop King Seeds
Purple Grapes,https://www.cropkingseeds.com/feminized-seeds/purple-grapes-feminized-seeds/,html/1cafbb34d945bdf8.html,Crop King Seeds
Silverface,https://www.cropkingseeds.com/feminized-seeds/silverface-feminized-seeds/,html/421e599c31dc60c1.html,Crop King Seeds
Beach Crasher,https://www.cropkingseeds.com/feminized-seeds/beach-crasher-feminized-seeds/,html/c13dbc745aa1e948.html,Crop King Seeds
Sweet Kush,https://www.cropkingseeds.com/autoflowering-seeds/sweet-kush-autoflowering-marijuana-seeds/,html/cbd6f2b0db090bdc.html,Crop King Seeds
Fruit Cake Strain,https://www.cropkingseeds.com/feminized-seeds/fruit-cake-strain-feminized-marijuana-seeds/,html/9b40e53bbb7303ab.html,Crop King Seeds
Bad Santa,https://www.cropkingseeds.com/feminized-seeds/bad-santa-feminized-seeds/,html/924c80e87188840d.html,Crop King Seeds
Purple Tangie Strain,https://www.cropkingseeds.com/feminized-seeds/purple-tangie-strain-feminized-marijuana-seeds/,html/7e4d66e72f4f1a28.html,Crop King Seeds
Alien Kush,https://www.cropkingseeds.com/feminized-seeds/alien-kush-feminized-seeds/,html/7348ffe4ec1b2d52.html,Crop King Seeds
Strawberry Cheese,https://www.cropkingseeds.com/autoflowering-seeds/strawberry-cheese-marijuana-seeds/,html/3e03098c5c99aca5.html,Crop King Seeds
Pastries #34 Strain,https://www.cropkingseeds.com/feminized-seeds/pastries-34-strain-feminized-marijuana-seeds/,html/1f9363ffcb6240ed.html,Crop King Seeds
Bacio Gelato Strain,https://www.cropkingseeds.com/feminized-seeds/bacio-gelato-strain-feminized-marijuana-seeds/,html/66cd5cecb187cf5e.html,Crop King Seeds
Island Sweet Skunk,https://www.cropkingseeds.com/autoflowering-seeds/island-sweet-skunk-autoflowering-marijuana-seeds/,html/141880a18746e1e3.html,Crop King Seeds
First Class Funk Strain,https://www.cropkingseeds.com/feminized-seeds/first-class-funk-strain-feminized-marijuana-seeds/,html/e813c5b4824c4eaf.html,Crop King Seeds
Squirt Strain,https://www.cropkingseeds.com/feminized-seeds/squirt-strain-feminized-marijuana-seeds/,html/43966075bf942d45.html,Crop King Seeds
Blue Moon Strain,https://www.cropkingseeds.com/feminized-seeds/blue-moon-strain-feminized-marijuana-seeds/,html/db3daf81aa333355.html,Crop King Seeds
Eye Candy Strain,https://www.cropkingseeds.com/feminized-seeds/eye-candy-strain-feminized-marijuana-seeds/,html/f5c21cd74bd1f327.html,Crop King Seeds
Smash Fruit,https://www.cropkingseeds.com/feminized-seeds/smash-fruit-feminized-seeds/,html/cc376048f69637ba.html,Crop King Seeds
Crumpets Strain,https://www.cropkingseeds.com/feminized-seeds/crumpets-strain-feminized-marijuana-seeds/,html/3a2309b838ff9384.html,Crop King Seeds
Green Caffeine Strain,https://www.cropkingseeds.com/feminized-seeds/green-caffeine-strain-feminized-marijuana-seeds/,html/018ef46478855fb1.html,Crop King Seeds
Its It,https://www.cropkingseeds.com/feminized-seeds/its-it-feminized-seeds/,html/bcf43fc66574451c.html,Crop King Seeds
Rose Queen,https://www.cropkingseeds.com/feminized-seeds/rose-queen-feminized-marijuana-seeds/,html/a155afd9440eff81.html,Crop King Seeds
Space Rocks Strain,https://www.cropkingseeds.com/feminized-seeds/space-rocks-strain-feminized-marijuana-seeds/,html/a563ff12e13221b6.html,Crop King Seeds
8 Inch Bagel Strain,https://www.cropkingseeds.com/feminized-seeds/8-inch-bagel-strain-feminized-marijuana-seeds/,html/c7c368b485f074de.html,Crop King Seeds
OG Punch,https://www.cropkingseeds.com/feminized-seeds/og-punch-feminized-marijuana-seeds/,html/726d8a8086aa6204.html,Crop King Seeds
Skywalker,https://www.cropkingseeds.com/autoflowering-seeds/skywalker-autoflowering-marijuana-seeds/,html/7c7b997a791b4b1e.html,Crop King Seeds
Banana Papaya,https://www.cropkingseeds.com/feminized-seeds/banana-papaya-feminized-seeds/,html/ca24e10f3433d303.html,Crop King Seeds
